WEEK,8038146,8038184,8038288,Grand_Total
1166,34575.11,11175.04,126815.24,172565.39
1167,28532.59,7643.38,54131.96,90307.93
1168,33308.27,12895.67,77960.14,124164.08
1169,46578.73,8008.43,58842.06,113429.22
1170,68535.83,7812.22,67923.83,144271.88
1171,56773.08,8240.73,71761.01,136774.82
1172,51830.59,9659.78,91677.74,153168.11
1173,65912.4,18573.38,32361.14,116846.92
1174,37446.93,21259.39,93372.07,152078.39
1175,52471,7993.36,63326.89,123791.25
1176,58480.95,13085.38,72252.41,143818.74
1177,35392.67,6401.01,60211.57,102005.25
1178,54519.82,3883.25,80419.54,138822.61
1179,57135.17,5319.66,30343.7,92798.53
1180,51897.56,9942.29,143332.83,205172.68
1181,65779.83,7327.76,79431.93,152539.52
1182,59524.04,7528.01,80415.32,147467.37
1183,69891.79,7517.18,72791.28,150200.25
1184,61534.33,8563.22,81513.97,151611.52
1185,71980.09,8339.88,55808.1,136128.07
1186,70900.66,8097.11,90100.02,169097.79
1187,19466.29,5761.45,85742.14,110969.88
1188,160068.93,12178.92,137588.07,309835.92
1189,57328.51,9206.37,67443.53,133978.41
1190,57268.5,7268.11,100492.73,165029.34
1191,33290.11,5904.29,89838.85,129033.25
1192,57707.76,7464.66,45904.03,111076.45
1193,30844.27,9195.73,76883.98,116923.98
1194,38452.35,15964.96,68657.45,123074.76
1195,49834.08,9929.96,51823.98,111588.02
1196,44146.46,5405.8,50476.86,100029.12
1197,28879.37,14148.93,50279.12,93307.42
1198,54878.08,4556.85,35891.62,95326.55
1199,46298.86,6242.12,41616.59,94157.57
1200,41878.16,5609.32,56978.3,104465.78
1201,51599.18,4718.74,54697.35,111015.27
1202,59062.58,4315.52,50510.43,113888.53
1203,52712.07,7808.3,50849.07,111369.44
1204,49715.98,7512.38,64656.3,121884.66
1205,55046.14,5799.07,52809.26,113654.47
1206,52269.68,6822.37,70986.89,130078.94
1207,50623.08,8499.82,41276.39,100399.29
1208,55626.18,14225.53,65417.78,135269.49
1209,50174.62,7874.93,21235.69,79285.24
1210,56399.44,6470.53,113344.69,176214.66
1211,38674.51,8687.53,38909.84,86271.88
1212,32350.81,6298.82,24128.81,62778.44
1213,20779.01,5444.36,34398.23,60621.6
1214,19031.7,2723.28,21163.82,42918.8
1215,20437.64,3451.63,20340.07,44229.34
1216,36074.03,6277.13,22295.86,64647.02
1217,26890.34,2942.84,22808.58,52641.76
