MONTH,Sum of TOTAL DOLS (000),Sum of NETWORK TV DOLS (000),Sum of SLN TV DOLS (000),Sum of CABLE TV DOLS (000),Sum of SYNDICATION DOLS (000),Sum of MAGAZINES DOLS (000),Sum of SUNDAY MAGS DOLS (000),Sum of B-TO-B DOLS (000),Sum of NATL NEWSP DOLS (000),Sum of NETWORK RADIO DOLS (000)
Jan-01,27459.4,19439.1,,2833.2,4050.6,882.5,,126.7,127.3,
Feb-01,11993,4177,,2423.1,2028.6,3364.3,,,,
Mar-01,17103.7,8160.7,,4499.8,1654.7,2742.8,,45.7,,
Apr-01,11444.8,4984.1,,733.2,2987.6,2534,205.9,,,
May-01,14635.8,7042.5,,2423.8,2076.5,2965.7,,,127.3,
Jun-01,7784.3,3109.4,,1767,2296.6,611.3,,,,
Jul-01,5266.9,2905.6,,701,1660.3,0,,,,
Aug-01,2427.5,1040.8,,413.5,536.9,436.3,,,,
Sep-01,9509.2,4764.8,,1469.7,1905.1,1369.6,,,,
Oct-01,8533.8,3701.2,,1308.8,1082,2441.9,,,,
Nov-01,1608.5,492.4,,767.6,77.8,154.7,,116,,
Dec-01,618.6,513.1,6.4,70.1,29,,,,,
Jan-02,16120.8,11444.4,713.5,1671.5,2084.8,193.7,,12.9,,
Feb-02,10743.5,4708.9,979.7,1919.2,1399.2,1736.6,,,,
Mar-02,10149.2,5646,408.6,2395.1,967.8,420.7,311.1,,,
Apr-02,16201.1,11365.3,244.2,2536.7,1430.9,476.6,,15,132.4,
May-02,15678.8,6738.7,1046.3,3497.9,868.9,3514.1,,12.9,,
Jun-02,6650.4,2305.6,315.9,1605.7,951.7,1471.6,,,,
Jul-02,9031.7,5205.8,,1945.7,1621.7,258.6,,,,
Aug-02,17131.8,10220.2,,3638.1,2374.2,899.3,,,,
Sep-02,12315.7,5499.5,1432.5,3045.6,719.5,1338.1,280.8,,,
Oct-02,7198.8,2490.2,1015.3,1826.3,394.8,1464.5,7.8,,,
Nov-02,3625.9,1507,,1733.9,197.6,187.4,,,,
Dec-02,2913.1,1657.5,,972.3,283.3,,,,,
Jan-03,14133.9,10581.4,391.8,1987.8,946.5,85.4,79.8,61.3,,
Feb-03,5353.2,2498.8,996.6,1359,406.9,46.6,,45.3,,
Mar-03,8655.3,6218.9,72.7,1424.4,849.2,90.2,,,,
Apr-03,16462.1,12364.8,,2934,730.3,353.2,79.8,,,
May-03,20311,10547.9,,3243.8,2039.3,4364.2,,,115.8,
Jun-03,14814.8,8117.6,,2593.6,716.9,3378.8,,,8,
Jul-03,9548.8,3456.1,,1546.7,471.2,4074.8,,,,
Aug-03,16794.9,6891.8,,2749.8,453.8,6033.9,321.7,,344,
Sep-03,13992.5,2812.1,1070.5,1734.4,967.6,6938.8,,,469.1,
Oct-03,17572.6,6830,1471.5,2717.4,1514.2,5039.5,,,,
Nov-03,6681.5,1921.9,378.3,929.6,539.9,2911.7,,,,
Dec-03,3623.3,859.5,265.8,655.8,159.7,1666.2,,16.3,,
Jan-04,24445.5,16274.7,1443.3,3531.8,744.7,1670.4,334.6,,446,
Feb-04,26916.9,13277.3,1433.5,3412.8,542.8,7469.9,334.6,,446,
Mar-04,25651.5,10633.8,2224,4710.7,573.8,7014.3,,48.9,446,
Apr-04,18548.8,8829.3,317,3161.1,760.8,4940.4,,29.4,510.9,
May-04,15699.3,5888.2,183.5,4309.1,713.9,4142.4,,16.3,446,
Jun-04,12571.8,1953.2,1383.4,5422.4,1078.4,2704.6,,30.2,,
Jul-04,7686.3,1313.9,1823.5,3853.9,371.2,323.8,,,,
Aug-04,10614.4,4276.3,44.8,3908.9,277.5,1562.8,541.4,,,2.8
Sep-04,6182.9,1107.1,911.4,1001.9,,3145.3,,17.1,,
Oct-04,6309.6,436.7,1189,1105.1,,3426.2,,,152.6,
Nov-04,6048.8,399.8,1676.5,870.5,,3102,,,,
Dec-04,3206.5,1236.3,370.9,531.4,,942.8,,,125.1,
Jan-05,19528,10832.8,,3936.9,889.6,3224.6,,,,644.2
Feb-05,24821.2,10176.7,1908.8,2626,807.5,7710.9,,,,1591.3
Mar-05,14058.1,2568.2,2991.5,3225.7,528.8,4192.5,,,,551.5
Apr-05,23477.3,9587,1546.1,4092.5,719.8,7446.4,,,,85.6
May-05,28390.2,11506,1898.7,4596.9,1220.9,7647.7,975.9,28.6,183,332.6
Jun-05,24057,7683.1,2867.4,3892.8,545.3,7977.2,,31.1,,1060.1
Jul-05,18154,2716.5,2540.6,2853.5,389.9,6873,187.1,,,2593.4
Aug-05,16468.8,2942.3,1109,4765.4,1222.1,5424.1,410.8,,,595.2
Sep-05,11968.2,1801.2,1290.5,2467.8,302.5,5883,,,,223.3
Oct-05,7096.5,984.7,,1049.1,,4920.5,,,,142.2
Nov-05,5953.5,140.8,,1227.5,,4164.5,325.9,,,94.8
Dec-05,2765.9,610.6,67,1241.8,92.6,706.5,,,,47.4
